Gamma	M	Position	SD	Energy	SD	Intensity	SD	FWHM	SD	Chi-square	

 186.668	G	322.284	0.092	186.668	0.0457	8144	432	2.809	0.170	5.840	
 210.007	G	369.408	0.105	210.007	0.0524	3239	231	2.400	0.207	6.520	
 239.314	G	428.580	0.017	239.314	0.0084	40658	466	2.611	0.034	1.815	
 241.726	G	433.450	0.113	241.726	0.0564	4592	321	2.599	0.226	1.815	
 242.711	G	435.438	0.075	242.711	0.0373	6594	330	2.544	0.145	1.815	
 270.827	G	492.206	0.201	270.827	0.0995	3990	376	3.604	0.411	2.505	
 295.832	G	542.692	0.021	295.832	0.0108	14853	215	2.661	0.042	1.141	
 300.718	G	552.557	0.089	300.718	0.0444	2891	163	2.637	0.172	1.141	
 328.606	G	608.865	0.205	328.606	0.1018	2175	297	2.557	0.415	5.036	
 338.889	G	629.627	0.063	338.889	0.0312	9063	357	2.878	0.124	2.221	
 352.481	G	657.068	0.022	352.481	0.0109	26082	387	2.895	0.046	1.797	
 463.467	G	881.155	0.068	463.467	0.0338	3306	118	3.201	0.131	1.000		
 583.581	G	1123.672	0.014	583.581	0.0069	18582	153	3.260	0.028	0.622	
 609.684	G	1176.376	0.027	609.684	0.0134	26345	422	3.353	0.053	2.286	
 661.970	G	1281.942	0.104	661.970	0.0516	2259	96	3.394	0.177	1.149	
 665.945	G	1289.969	0.232	665.945	0.1152	917	85	3.309	0.395	1.149	
 727.598	G	1414.448	0.085	727.598	0.0423	3967	177	3.323	0.160	1.873	
 755.676	G	1471.140	0.182	755.676	0.0903	512	58	2.637	0.367	0.761	
 768.589	G	1497.212	0.126	768.589	0.0628	2701	155	3.776	0.245	1.784	
 772.665	G	1505.441	0.470	772.665	0.2328	504	118	3.268	0.954	1.784	
 786.052	G	1532.469	0.165	786.052	0.0820	1082	77	3.130	0.267	1.163	
 795.278	G	1551.097	0.082	795.278	0.0407	2646	88	3.376	0.127	1.163	
 806.240	G	1573.231	0.153	806.240	0.0759	718	34	1.740	0.161	0.890	
 836.208	G	1633.738	0.427	836.208	0.2118	599	128	3.453	0.937	1.946	
 840.285	G	1641.969	0.377	840.285	0.1868	698	128	3.523	0.781	1.946	
 860.818	G	1683.427	0.074	860.818	0.0369	2303	75	3.703	0.131	0.484	
 904.496	G	1771.615	0.311	904.496	0.1540	503	76	3.281	0.592	1.281	
 911.489	G	1785.734	0.025	911.489	0.0125	13812	168	3.730	0.042	1.281	
 934.281	G	1831.752	0.187	934.281	0.0926	1507	119	4.141	0.366	1.614	
 965.080	G	1893.936	0.112	965.080	0.0557	2478	116	4.233	0.236	1.435	
 969.241	G	1902.338	0.041	969.241	0.0207	7909	152	4.041	0.082	1.435	
1001.281	G	1967.027	0.326	1001.281	0.1618	611	76	4.008	0.640	1.215	
1078.520	G	2122.977	0.297	1078.520	0.1472	990	11	1.724	0.124	0.625	
1120.580	G	2207.898	0.043	1120.580	0.0214	7416	138	4.083	0.076	1.294	
1155.702	G	2278.811	0.255	1155.702	0.1264	1278	79	3.577	0.325	1.434	
1238.416	G	2445.815	0.081	1238.416	0.0406	3182	92	4.463	0.151	1.092	
1281.326	G	2532.452	0.199	1281.326	0.0985	670	48	4.144	0.364	0.819	
1401.782	G	2775.658	0.199	1401.782	0.0988	650	44	4.643	0.364	0.769	
1408.456	G	2789.134	0.122	1408.456	0.0605	1144	49	4.714	0.238	0.769	
1461.219	G	2895.665	0.078	1461.219	0.0387	76170	2432	4.595	0.107	9.435	
1509.589	G	2993.326	0.333	1509.589	0.1654	847	115	4.545	0.656	2.670	
1588.806	G	3153.269	0.192	1588.806	0.0954	1281	72	5.094	0.328	1.534	
1593.039	G	3161.815	0.182	1593.039	0.0901	1208	70	4.785	0.303	1.534	
1621.392	G	3219.061	0.227	1621.392	0.1128	714	28	5.427	0.354	1.211	
1631.025	G	3238.512	0.173	1631.025	0.0858	666	23	4.399	0.191	1.211	
1661.647	G	3300.339	0.324	1661.647	0.1608	414	46	5.219	0.637	1.369	
1730.170	G	3438.689	0.111	1730.170	0.0551	1209	35	5.542	0.207	0.987	
1765.098	G	3509.211	0.074	1765.098	0.0370	6750	176	4.968	0.111	2.205	
1847.210	G	3676.698	0.178	1847.210	0.0882	838	49	5.278	0.336	1.318	
